id,book_description,genre_name,book_name,author_name
27,"Bữa cơm gia đình Việt Nam vốn có hàm nghĩa là sum vầy, đầm ấm, tượng trưng cho ý nghĩa đẹp nhất của một gia đình hạnh phúc. Ngày nay, cùng với sự phát triển của đất nước, chúng ta chẳng những đã có những bữa cơm no mà còn có những bữa cơm ngon với kỹ thuật chế biến đẹp mắt hơn.

Nấu một bữa cơm, có lẽ cũng là điều giản dị đối với hầu hết mọi người. Nhưng để nấu một bữa cơm ngon, chắc chắn phải đòi hỏi một nghệ thuật, kỹ thuật đặc biệt.

Mong rằng cuốn sách nhỏ này sẽ hướng dẫn, gợi ý giúp các bạn nấu một bữa cơm đủ dinh dưỡng, ngon, lạ, đặc sắc, dành cho những người thân yêu trong gia đình.

Sách in trên giấy couché, ảnh minh họa màu.","Ẩm thực-Nấu ăn","Những Món Cơm Ngon Đặc Sắc","Tiểu Quỳnh"
28,"Cuốn sách “Món ăn giúp trẻ thông minh học giỏi” xin giới thiệu các loại thực phẩm thông dụng hàng ngày, các món ăn bổ dưỡng giúp trẻ nhỏ thêm linh lợi, hoạt bát, giúp sĩ tử thêm vững tin trước các kỳ thi đầy gian nan.","Ẩm thực-Nấu ăn","Món Ăn Giúp Trẻ Thông Minh Học Giỏi","Nhật Nguyên"
29,"Hướng dẫn cách pha chế rượu – cocktail cho các dịp khác nhau như: đồ uống trước bữa tối; đồ uống sau bữa tối; đồ uống ít chất bổ; đồ uống thời tiết nóng…Giới thiệu tủ đựng cocktail, các loại cockatil, cocktail trái cây và cocktail không có chất rượu…","Ẩm thực-Nấu ăn","Nghệ Thuật Pha Chế 460 Loại Rượu Cocktail","Nhiều tác giả"
30,"Món gà – món vịt là những thức ăn thân thuộc với người Việt Nam từ bao đời nay. Trong bữa cơm gia đình, trong các buổi tiệc sang trọng hay bữa cúng giỗ, hiếm khi nào lại thiếu món gà – món vịt vừa ngon vừa giàu dinh dưỡng này.

Gần 90 món ăn được giới thiệu trong tập sách này là những món chọn lọc, hợp với khẩu vị của người việt, sẽ giúp các bạn nắm được những quy tắc chung nhất để chế biến các món ăn này.

Chúc các bạn thành công.","Ẩm thực-Nấu ăn","Dinh Dưỡng Cho Trẻ Béo Phì","Nhiều tác giả"
31,"Đặc điểm món ăn từng miền tuy khác nhau, nhưng vẫn có những điểm tương đồng, thể hiện qua cơ cấu bữa ăn, nguyên tắc chế biến như nước dùng, nước mắm, gia vị hỗn hợp, rau phong phú, các loại nước chấm chế biến đa dạng phù hợp với món ăn. Vì vậy, không chỉ người Việt mà nhiều người nước ngoài đều rất yêu thích văn hóa ẩm thực của đất nước hình chữ S.","Ẩm thực-Nấu ăn","Các Món Ăn Đặc Sản Miền Nam","Lâm Hoa Phụng"
32,"Sinh tố là thức uống chế biến từ vật liệu trái cây và rau củ tươi, giúp hấp thu bổ sung chất khoáng, vitamin và chất xơ. Ngoài các trái cây và rau củ có thể xay sinh tố, cần bổ sung thêm thực phẩm một cách linh hoạt, hợp lý để tăng hiệu quả giữ gìn sắc đẹp và bảo vệ sức khoẻ.","Ẩm thực-Nấu ăn","Kỹ Thuật Pha Chế Sinh Tố – Làm Đẹp Và Trị Bệnh","Nhiều tác giả"
33,"“Giáo trình thực hành chế biến món ăn“ này là tài liệu giảng dạy và học tập trong các trường THCN ở Hà Nội, đồng thời là tài liệu thao khảo hữu ích cho các trường có đào tạo các ngành kỹ thuật – nghiệp vụ và đông đảo bạn đọc quan tâm đến vấn đề hướng nghiệp và dạy nghề.","Ẩm thực-Nấu ăn","Giáo Trình Thực Hành Chế Biến Món Ăn","Nhiều tác giả"
34,"Món lẩu, món xốt, món súp, (phụ gia) đã và đang là những món ăn ngon, hợp khẩu vị, lịch sự và rất phổ biến trong các gia đình Việt mỗi khi tổ chức liên hoan hay các dịp lễ tế. Cuốn sách được biên soạn với mục đích giúp các bạn nội trợ chế biến được các món lẩu và súp, ngon, lạ miệng và hấp dẫn:","Ẩm thực-Nấu ăn","Kỹ Thuật Chế Biến Các Món Lẩu Xốt Súp","Tiểu Quỳnh"
43,"Cuốn sách “Món Ngon Dễ Làm” của tác giả Minh Thư giúp các chúng ta chế biến các món ăn cho gia đình một cách dễ dàng, với cách hướng dẫn tỉ mỉ, tất cả mọi người sau khi đọc xong đều có thể lựa chọn cho mình những món phù hợp để thực hành. Cuốn sách có trên 70 món khác nhau để các bạn lựa chọn.","Ẩm thực-Nấu ăn","MÓN NGON DỄ LÀM","Minh Thư"
44,"Văn học Việt Nam thời xưa có nhiều tác phẩm có giá trị to lớn về mặt nhân văn và nghệ thuật, đã được công nhận và chứng thực qua thời gian. Bộ sách Việt Nam danh tác bao gồm loạt tác phẩm đi cùng năm tháng như: Số đỏ (Vũ Trọng Phụng), Việc làng (Ngô Tất Tố), Gió đầu mùa, Hà Nội băm sáu phố phường (Thạch Lam), Miếng ngon Hà Nội (Vũ Bằng), Vang bóng một thời (Nguyễn Tuân)... Hy vọng bộ sách sau khi tái bản sẽ giúp đông đảo tầng lớp độc giả thêm hiểu, tự hào và nâng niu kho tàng văn học nước nhà.","Ẩm thực-Nấu ăn","MIẾNG NGON HÀ NỘI","Tự lực văn đoàn"
45,"Suốt những năm tháng ròng rã vật lộn mưu sinh tại miền Nam, của ngon vật hiếm nơi đất khách đã giúp Vũ Bằng vơi đi nỗi buồn hoang hoải hướng về cố hương.

Món lạ miền Nam đã ra đời như vậy, cuốn tùy bút độc đáo của Vũ Bằng về những trải nghiệm hương vị ẩm thực mà mới nghe tên thôi người ta đã cảm thấy thích thú..","Ẩm thực-Nấu ăn","MÓN LẠ MIỀN NAM","Tự lực văn đoàn"
1,"Những câu 
chuyện trong cuốn sách này giống như hạt mầm trí tuệ - hàm chứa ý nghĩa sâu xa và những 
bài học sâu sắc. Bằng cách dẫn dắt tự nhiên, kết hợp với những hình ảnh minh họa ngộ
 nghĩnh về các loài vật nhỏ, bộ sách Chuyện Kể Cho Bé Trước Giờ Đi Ngủ sẽ tạo cho bé
 cảm giác thật gần gũi. Qua đó, bồi đắp cho bé những đức tính cần thiết như: tính tự giác,
 chăm chỉ, lòng bao dung, kiên cường vượt qua thử thách...","Cổ Tích - Thần Thoại","Chuyện kể cho bé","Nhiều tác giả"
2,"Đôi nét về cuộc đời, 
 sự nghiệp văn học, khoa học của Nguyễn Đổng Chi. Nghiên cứu truyện cỏ̂ tích nói chung 
 và truyện cỏ̂ tích Việt Nam. Bản chá̂t truyện cỏ̂ tích. Lai lịch truyện cỏ̂ tích. Truyện
 cỏ̂ tích Việt Nam qua các thời đại.","Cổ Tích - Thần Thoại","Kho tàng truyện cổ tích Việt Nam","Nguyễn Đổng Chi"
3,"10 Huyền Thoại Viking Hay Nhất Mọi
 Thời Đại được trình bày dưới nhiều hình thức khác nhau. Sau mỗi huyền thoại lại có những 
 dữ liệu kỳ thú liên quan đến chủ đề.","Cổ Tích - Thần Thoại","10 Huyền Thoại Viking Hay Nhất Mọi Thời Đại","Michael Cox"
